"symbol","mom_z_ts","mom_z_cs","vol_z_ts","vol_z_cs","skew_z_ts","skew_z_cs","ret_1m_z_ts","ret_1m_z_cs","dfp_z_ts","dfp_z_cs"
"ETN",-0.905815384818923,-0.116014213503585,0.807830620730803,-0.0449955555464361,-0.169714186491402,-0.545005902676541,-1.66937232827284,-1.54775722910701,-0.583279309405516,0.308292592936475
"ETR",0.48873150373501,0.711874310884396,-0.543540297442387,-0.954944084686493,0.935358741490776,1.08225243146932,0.130631346404001,-0.0142012836934159,0.94967259207627,0.98358625810158
"EVRG",1.03127940218963,0.665719738242318,-1.23638636880683,-1.31710494922821,0.51499666069903,0.0144512154194096,0.194281724093392,-0.032231847125262,1.00466606855449,0.98358625810158
"EW",-0.0195885434539227,0.230505583961389,-0.219644946417453,0.401138553057147,-3.36790449894319,-3.88048341602638,0.411254312531274,0.37908226118899,0.44686002176296,0.34457183616571
"EXC",0.436463158831077,0.518865156368704,-0.456757735707469,-1.10256172446382,0.631149300785739,-0.123281039450856,0.359128800142452,0.104988411922635,1.03057793597939,0.98358625810158
"EXPD",-0.493576039978596,-0.0473849546838387,-1.12540659913346,-0.903466396425683,-1.70130464179519,-0.892581528266971,2.98658812561236,2.42894272772799,0.996580312749255,0.98358625810158
"EXPE",0.241830929451666,0.591013235773014,0.0534013708021804,1.61864608495636,1.43563653546197,1.8277524989498,1.26908831638522,1.88394361874175,1.27311603929975,0.98358625810158
"EXR",-0.931257878521353,-0.624312185175245,0.986986808823594,0.574506836894407,1.58150507921133,1.65342416430399,-0.160688502597834,-0.33952744974594,-0.852527045224945,-0.582988130278331
"F",0.201162335156451,0.44499640280493,-1.00292989850807,-0.223454898127424,-0.191250629785651,-0.416695877446824,0.133648607343716,0.00533390067002231,1.47019313139174,0.98358625810158
"FANG",-0.668278239303963,-0.841316214762647,-0.965503070022526,-0.370299718954238,-0.719415524086219,0.0682502719070517,0.401639046400996,0.669507611958468,-0.0818457124264136,-0.466438785222584
"FAST",-0.0636198088533931,0.448831527071782,-0.0509541743181211,-0.148200204295498,-2.21228581101212,-1.74381021350593,-0.468857227930689,-0.545378765982695,-1.63601120985911,-0.268187897367597
"FCX",-0.523581263906396,-0.555320311456308,-1.75169847763224,0.633137224208706,0.204655967843428,0.709041359870735,0.0178808759364288,0.106211562839572,0.274512668995044,-0.1668991160873
"FDS",-3.73523025832807,-1.61651825629314,0.789240658177523,-0.409959895873041,-2.37860681198166,-2.07447924440042,0.571164036568778,0.275160763929116,-4.31704351295796,-1.95866035706558
"FDX",-0.941410022092771,-1.0142026852645,-0.761154573658088,-0.0063386141564598,1.01911681590569,0.903145441062159,0.832837689292841,0.844470127990709,0.837414096799551,0.517921785833927
"FE",0.247088453471838,0.291641075059453,-0.946559670876737,-1.29728134214743,0.544568480055145,-0.389985248944722,0.758086596007146,0.382506981431361,0.868414326576547,0.98358625810158
"FFIV",0.307804216934175,0.655177674566202,0.366230454026019,0.266688536855594,-1.55215980633417,-1.28834457335802,-0.821221147851877,-1.03371551078626,-0.555158121101347,-0.802331674494808
"FICO",-2.52926993364803,-1.78753629506065,0.923865602775402,1.24228500323765,-0.868278145281322,-0.427659532375298,0.635757959207187,0.871555393542946,-1.52451894048119,-0.662607311444576
"FIS",-1.14838016559133,-0.916194775347345,0.100743963922187,-0.0955094296818349,0.529359734177023,0.145229444310446,0.630753054630258,0.389747421823891,-0.356677908541302,-0.745725695165332
"FISV",-1.96844002544249,-0.872821796287171,3.69902893721251,1.96332391457524,-4.87335082151469,-3.50771574101339,-1.03379412642623,-1.34514703298228,-5.50476740931016,-4.09381995655623
"FITB",-0.530679710527877,-0.280081370139063,-0.313379058830432,0.262437344094741,1.34256854873237,0.938818004548515,0.328842622211107,0.286207591997873,0.646865895619881,0.554349170009477
"FRT",-0.493058671873014,-0.512709592772632,-1.25079312369467,-1.21904196441327,1.02434405146818,1.1798401168534,0.340436871135851,0.0490814023968935,0.322251411703089,0.190178562711386
"FSLR",-0.118006954616485,0.347755713108285,0.790684126447547,2.99568959467762,1.03707415515355,1.70333626583828,0.00443398543074953,-0.00424838160321323,1.36847808825487,0.98358625810158
"FTNT",-1.12652832571811,-0.550845792084389,0.11321846473658,1.00204651998098,0.861922049774326,1.02237855813438,-0.862677323679541,-1.11937079801443,-1.45149473885488,-0.725840222536335
"GD",0.581961534830531,0.677447395258307,-1.98342755538738,-1.53309791009296,-1.16816308520426,-0.991363760827378,-0.352706212840731,-0.428902713674093,0.90520886328854,0.918462693274552
